        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  2.064057E-07  3.205538E-05 -5.602329E-09  9.226132E-06 -1.612923E-09  8.487595E-11  4.381977E-07  7.955954E-12 -8.339880E-16  3.150576E-06 -5.508034E-10  2.669253E-11  1.378053E-07  2.501573E-12 -2.622353E-16
  2.226851E-07  3.458362E-05 -6.519815E-09  9.953806E-06 -1.877069E-09  9.877598E-11  4.727588E-07  9.260434E-12 -1.047147E-15  3.399065E-06 -6.410078E-10  3.106394E-11  1.486741E-07  2.911738E-12 -3.292600E-16
  2.397992E-07  3.724149E-05 -7.559660E-09  1.071879E-05 -2.176443E-09  1.145298E-10  5.090919E-07  1.073852E-11 -1.307690E-15  3.660295E-06 -7.432421E-10  3.601833E-11  1.601002E-07  3.376489E-12 -4.111840E-16
  2.577908E-07  4.003563E-05 -8.735685E-09  1.152299E-05 -2.515023E-09  1.323467E-10  5.472878E-07  1.241034E-11 -1.624598E-15  3.934918E-06 -8.588652E-10  4.162155E-11  1.721121E-07  3.902156E-12 -5.108309E-16
  2.767048E-07  4.297302E-05 -1.006386E-08  1.236843E-05 -2.897407E-09  1.524686E-10  5.874421E-07  1.429823E-11 -2.009095E-15  4.223621E-06 -9.894468E-10  4.794968E-11  1.847399E-07  4.495761E-12 -6.317305E-16
  2.965885E-07  4.606102E-05 -1.156150E-08  1.325722E-05 -3.328581E-09  1.751581E-10  6.296551E-07  1.642698E-11 -2.474049E-15  4.527126E-06 -1.136690E-09  5.508526E-11  1.980152E-07  5.165098E-12 -7.779282E-16
  3.174917E-07  4.930735E-05 -1.324797E-08  1.419157E-05 -3.814119E-09  2.007083E-10  6.740325E-07  1.882408E-11 -3.034896E-15  4.846193E-06 -1.302498E-09  6.312051E-11  2.119710E-07  5.918814E-12 -9.542785E-16
  3.394667E-07  5.272012E-05 -1.514476E-08  1.517383E-05 -4.360209E-09  2.294449E-10  7.206851E-07  2.152005E-11 -3.709677E-15  5.181618E-06 -1.488985E-09  7.215785E-11  2.266424E-07  6.766501E-12 -1.166453E-15
  3.625683E-07  5.630786E-05 -1.727563E-08  1.620645E-05 -4.973694E-09  2.617280E-10  7.697296E-07  2.454870E-11 -4.519746E-15  5.534241E-06 -1.698486E-09  8.231053E-11  2.420661E-07  7.718795E-12 -1.421168E-15
  3.868543E-07  6.007955E-05 -1.966701E-08  1.729201E-05 -5.662175E-09  2.979576E-10  8.212887E-07  2.794756E-11 -5.490174E-15  5.904943E-06 -1.933598E-09  9.370434E-11  2.582805E-07  8.787490E-12 -1.726305E-15
  4.123856E-07  6.404462E-05 -2.234813E-08  1.843323E-05 -6.434078E-09  3.385771E-10  8.754913E-07  3.175820E-11 -6.650490E-15  6.294652E-06 -2.197198E-09  1.064787E-10  2.753262E-07  9.985661E-12 -2.091149E-15
  4.392258E-07  6.821299E-05 -2.535143E-08  1.963296E-05 -7.298734E-09  3.840775E-10  9.324729E-07  3.602671E-11 -8.035375E-15  6.704341E-06 -2.492473E-09  1.207881E-10  2.932459E-07  1.132780E-11 -2.526606E-15
  4.674422E-07  7.259507E-05 -2.871285E-08  2.089420E-05 -8.266494E-09  4.350035E-10  9.923760E-07  4.080419E-11 -9.685582E-15  7.135036E-06 -2.822958E-09  1.368037E-10  3.120843E-07  1.282997E-11 -3.045489E-15
  4.971053E-07  7.720182E-05 -3.247222E-08  2.222011E-05 -9.348824E-09  4.919584E-10  1.055350E-06  4.614723E-11 -1.164894E-14  7.587812E-06 -3.192566E-09  1.547154E-10  3.318886E-07  1.450997E-11 -3.662837E-15
  5.282892E-07  8.204477E-05 -3.667365E-08  2.361400E-05 -1.055843E-08  5.556107E-10  1.121554E-06  5.211855E-11 -1.398156E-14  8.063803E-06 -3.605638E-09  1.747333E-10  3.527083E-07  1.638752E-11 -4.396296E-15
  5.610719E-07  8.713601E-05 -4.136603E-08  2.507936E-05 -1.190937E-08  6.267011E-10  1.191151E-06  5.878763E-11 -1.674925E-14  8.564199E-06 -4.066979E-09  1.970905E-10  3.745955E-07  1.848447E-11 -5.266555E-15
  5.955355E-07  9.248830E-05 -4.660351E-08  2.661984E-05 -1.341726E-08  7.060497E-10  1.264317E-06  6.623144E-11 -2.002911E-14  9.090250E-06 -4.581912E-09  2.220447E-10  3.976048E-07  2.082501E-11 -6.297861E-15
  6.317660E-07  9.811499E-05 -5.244606E-08  2.823931E-05 -1.509934E-08  7.945653E-10  1.341234E-06  7.453520E-11 -2.391149E-14  9.643272E-06 -5.156332E-09  2.498819E-10  4.217938E-07  2.343594E-11 -7.518616E-15
  6.698542E-07  1.040302E-04 -5.896008E-08  2.994181E-05 -1.697474E-08  8.932538E-10  1.422095E-06  8.379332E-11 -2.850214E-14  1.022465E-05 -5.796771E-09  2.809183E-10  4.472231E-07  2.634695E-11 -8.962079E-15
  7.098951E-07  1.102486E-04 -6.621912E-08  3.173160E-05 -1.906463E-08  1.003229E-09  1.507101E-06  9.411031E-11 -3.392486E-14  1.083583E-05 -6.510456E-09  3.155044E-10  4.739561E-07  2.959090E-11 -1.066717E-14
  7.519890E-07  1.167859E-04 -7.430458E-08  3.361315E-05 -2.139245E-08  1.125726E-09  1.596466E-06  1.056019E-10 -4.032446E-14  1.147835E-05 -7.305393E-09  3.540281E-10  5.020597E-07  3.320418E-11 -1.267944E-14
  7.962411E-07  1.236584E-04 -8.330660E-08  3.559117E-05 -2.398416E-08  1.262108E-09  1.690413E-06  1.183963E-10 -4.787033E-14  1.215381E-05 -8.190444E-09  3.969188E-10  5.316042E-07  3.722707E-11 -1.505212E-14
