        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  1.568835E-05  1.450467E-04 -4.774054E-07  3.620335E-05 -1.191624E-07
  1.652689E-05  1.527990E-04 -5.281116E-07  3.813831E-05 -1.318189E-07
  1.740843E-05  1.609488E-04 -5.838818E-07  4.017247E-05 -1.457394E-07
  1.833516E-05  1.695163E-04 -6.451706E-07  4.231091E-05 -1.610374E-07
  1.930940E-05  1.785230E-04 -7.124626E-07  4.455896E-05 -1.778338E-07
  2.033359E-05  1.879914E-04 -7.862730E-07  4.692225E-05 -1.962572E-07
  2.141030E-05  1.979451E-04 -8.671457E-07  4.940669E-05 -2.164434E-07
  2.254221E-05  2.084091E-04 -9.556524E-07  5.201847E-05 -2.385351E-07
  2.373216E-05  2.194094E-04 -1.052389E-06  5.476413E-05 -2.626811E-07
  2.498311E-05  2.309736E-04 -1.157975E-06  5.765052E-05 -2.890357E-07
  2.629820E-05  2.431305E-04 -1.273042E-06  6.068486E-05 -3.177570E-07
  2.768072E-05  2.559104E-04 -1.398235E-06  6.387471E-05 -3.490059E-07
  2.913412E-05  2.693455E-04 -1.534201E-06  6.722806E-05 -3.829437E-07
  3.066204E-05  2.834690E-04 -1.681580E-06  7.075328E-05 -4.197304E-07
  3.226830E-05  2.983165E-04 -1.840999E-06  7.445917E-05 -4.595223E-07
  3.395691E-05  3.139248E-04 -2.013056E-06  7.835498E-05 -5.024688E-07
  3.573210E-05  3.303331E-04 -2.198315E-06  8.245044E-05 -5.487105E-07
  3.759830E-05  3.475822E-04 -2.397293E-06  8.675579E-05 -5.983768E-07
  3.956019E-05  3.657153E-04 -2.610454E-06  9.128177E-05 -6.515831E-07
  4.162267E-05  3.847776E-04 -2.838202E-06  9.603968E-05 -7.084305E-07
  4.379089E-05  4.048167E-04 -3.080879E-06  1.010414E-04 -7.690044E-07
  4.607027E-05  4.258827E-04 -3.338770E-06  1.062994E-04 -8.333761E-07
  4.846653E-05  4.480281E-04 -3.612110E-06  1.118269E-04 -9.016040E-07
  5.098564E-05  4.713083E-04 -3.901094E-06  1.176376E-04 -9.737367E-07
  5.363391E-05  4.957814E-04 -4.205894E-06  1.237460E-04 -1.049818E-06
  5.641796E-05  5.215084E-04 -4.526683E-06  1.301674E-04 -1.129890E-06
