        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)        P(3d-)        Q(3d-)         P(3d)         Q(3d)         P(4s)         Q(4s)        P(4p-)        Q(4p-)         P(4p)         Q(4p)        P(4d-)        Q(4d-)         P(4d)         Q(4d)         P(5s)         Q(5s)        P(5p-)        Q(5p-)         P(5p)         Q(5p)
  2.402671E-08  2.899883E-05 -1.232542E-09  1.008567E-05 -4.293035E-10  7.628979E-11  1.703444E-06  2.807465E-12 -6.637658E-17  4.546522E-06 -1.935676E-10  3.595083E-11  8.025739E-07  1.336460E-12 -3.160388E-17  1.778410E-18  7.147841E-14  8.437116E-20 -1.320218E-24  2.092233E-06 -8.908058E-11  1.601554E-11  3.575203E-07  5.937425E-13 -1.404105E-17  7.440614E-19  2.990467E-14  3.523016E-20 -5.512889E-25  8.373585E-07 -3.565237E-11  5.719775E-12  1.276836E-07  2.094110E-13 -4.952263E-18
  2.715752E-08  3.277753E-05 -1.578815E-09  1.139989E-05 -5.499127E-10  9.772278E-11  1.925411E-06  3.586789E-12 -1.066447E-16  5.138957E-06 -2.479488E-10  4.605092E-11  9.071534E-07  1.707447E-12 -5.077672E-17  2.857302E-18  9.132009E-14  1.218376E-19 -2.680323E-24  2.364861E-06 -1.141070E-10  2.051498E-11  4.041071E-07  7.585594E-13 -2.255920E-17  1.195454E-18  3.820591E-14  5.087469E-20 -1.119234E-24  9.464707E-07 -4.566861E-11  7.326699E-12  1.443214E-07  2.675414E-13 -7.956608E-18
  3.044884E-08  3.674997E-05 -1.972749E-09  1.278149E-05 -6.871230E-10  1.221059E-10  2.158760E-06  4.508865E-12 -1.413969E-16  5.761768E-06 -3.098151E-10  5.754121E-11  1.017095E-06  2.146390E-12 -6.732328E-17  3.788409E-18  1.147963E-13  1.717210E-19 -3.748990E-24  2.651468E-06 -1.425782E-10  2.563372E-11  4.530824E-07  9.535666E-13 -2.991055E-17  1.585016E-18  4.802772E-14  7.170409E-20 -1.565481E-24  1.061177E-06 -5.706351E-11  9.154804E-12  1.618123E-07  3.363197E-13 -1.054942E-17
  3.390892E-08  4.092607E-05 -2.446705E-09  1.423392E-05 -8.522052E-10  1.514420E-10  2.404072E-06  5.591824E-12 -2.020574E-16  6.416510E-06 -3.842487E-10  7.136556E-11  1.132673E-06  2.661920E-12 -9.620557E-17  5.413669E-18  1.423685E-13  2.371662E-19 -6.200251E-24  2.952769E-06 -1.768328E-10  3.179226E-11  5.045687E-07  1.182598E-12 -4.274244E-17  2.265002E-18  5.956323E-14  9.903150E-20 -2.589065E-24  1.181765E-06 -7.077309E-11  1.135426E-11  1.802000E-07  4.170985E-13 -1.507522E-17
  3.754640E-08  4.531630E-05 -2.987294E-09  1.576082E-05 -1.040496E-09  1.849024E-10  2.661961E-06  6.855863E-12 -2.689056E-16  7.104822E-06 -4.691468E-10  8.713349E-11  1.254177E-06  3.263650E-12 -1.280340E-16  7.204717E-18  1.745511E-13  3.219703E-19 -8.944095E-24  3.269519E-06 -2.159033E-10  3.881663E-11  5.586948E-07  1.449926E-12 -5.688327E-17  3.014351E-18  7.302757E-14  1.344424E-19 -3.734823E-24  1.308535E-06 -8.641011E-11  1.386293E-11  1.995304E-07  5.113841E-13 -2.006267E-17
  4.137037E-08  4.993161E-05 -3.629485E-09  1.736601E-05 -1.264176E-09  2.246517E-10  2.933073E-06  8.323470E-12 -3.635184E-16  7.828424E-06 -5.700012E-10  1.058649E-10  1.381911E-06  3.962287E-12 -1.730820E-16  9.739651E-18  2.119166E-13  4.307043E-19 -1.349865E-23  3.602508E-06 -2.623169E-10  4.716119E-11  6.155959E-07  1.760306E-12 -7.689729E-17  4.074931E-18  8.866029E-14  1.798456E-19 -5.636689E-24  1.441805E-06 -1.049860E-10  1.684310E-11  2.198519E-07  6.208541E-13 -2.712159E-17
  4.539040E-08  5.478355E-05 -4.360781E-09  1.905349E-05 -1.518892E-09  2.699162E-10  3.218085E-06  1.001968E-11 -4.773363E-16  8.589126E-06 -6.848493E-10  1.271954E-10  1.516194E-06  4.769745E-12 -2.272741E-16  1.278914E-17  2.551022E-13  5.688571E-19 -1.930126E-23  3.952571E-06 -3.151704E-10  5.666359E-11  6.754145E-07  2.119032E-12 -1.009739E-16  5.350796E-18  1.067280E-13  2.375329E-19 -8.059708E-24  1.581908E-06 -1.261394E-10  2.023678E-11  2.412153E-07  7.473755E-13 -3.561339E-17
  4.961655E-08  5.988426E-05 -5.209624E-09  2.082750E-05 -1.814550E-09  3.224564E-10  3.517710E-06  1.197233E-11 -6.252701E-16  9.388830E-06 -8.181580E-10  1.519545E-10  1.657361E-06  5.699283E-12 -2.977098E-16  1.675270E-17  3.048170E-13  7.430032E-19 -2.776699E-23  4.320581E-06 -3.765196E-10  6.769338E-11  7.383001E-07  2.531993E-12 -1.322672E-16  7.009089E-18  1.275274E-13  3.102496E-19 -1.159478E-23  1.729194E-06 -1.506930E-10  2.417595E-11  2.636740E-07  8.930255E-13 -4.665052E-17
  5.405937E-08  6.524649E-05 -6.181025E-09  2.269246E-05 -2.152896E-09  3.825826E-10  3.832697E-06  1.421241E-11 -8.074314E-16  1.022954E-05 -9.707141E-10  1.802883E-10  1.805767E-06  6.765643E-12 -3.844422E-16  2.163329E-17  3.618497E-13  9.610015E-19 -3.896205E-23  4.707459E-06 -4.467266E-10  8.031568E-11  8.044098E-07  3.005740E-12 -1.708009E-16  9.051062E-18  1.513883E-13  4.012773E-19 -1.626955E-23  1.884031E-06 -1.787916E-10  2.868387E-11  2.872842E-07  1.060114E-12 -6.024131E-17
  5.872999E-08  7.088364E-05 -7.292552E-09  2.465304E-05 -2.540049E-09  4.513820E-10  4.163834E-06  1.677434E-11 -1.036134E-15  1.111335E-05 -1.145277E-09  2.127094E-10  1.961781E-06  7.985220E-12 -4.933343E-16  2.776086E-17  4.270768E-13  1.232227E-18 -5.440681E-23  5.114174E-06 -5.270609E-10  9.475877E-11  8.739091E-07  3.547556E-12 -2.191798E-16  1.161475E-17  1.786776E-13  5.145307E-19 -2.271888E-23  2.046807E-06 -2.109435E-10  3.384206E-11  3.121050E-07  1.251211E-12 -7.730448E-17
