        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)
  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  1.009929E-06  6.092070E-05 -3.382866E-08  1.573238E-05 -8.737124E-09  2.323497E-10  3.587697E-07  3.267913E-11 -1.088870E-14
  1.071964E-06  6.466272E-05 -3.811158E-08  1.669873E-05 -9.843299E-09  2.617670E-10  3.808069E-07  3.681702E-11 -1.302085E-14
  1.137179E-06  6.859660E-05 -4.288923E-08  1.771463E-05 -1.107725E-08  2.945823E-10  4.039740E-07  4.143295E-11 -1.554465E-14
  1.205738E-06  7.273217E-05 -4.821590E-08  1.878262E-05 -1.245300E-08  3.311687E-10  4.283289E-07  4.657939E-11 -1.852882E-14
  1.277811E-06  7.707977E-05 -5.415168E-08  1.990536E-05 -1.398607E-08  3.719389E-10  4.539325E-07  5.231445E-11 -2.205384E-14
  1.353580E-06  8.165028E-05 -6.076313E-08  2.108566E-05 -1.569365E-08  4.173501E-10  4.808488E-07  5.870245E-11 -2.621380E-14
  1.433234E-06  8.645512E-05 -6.812391E-08  2.232648E-05 -1.759476E-08  4.679084E-10  5.091451E-07  6.581462E-11 -3.111877E-14
  1.516972E-06  9.150631E-05 -7.631556E-08  2.363092E-05 -1.971046E-08  5.241737E-10  5.388922E-07  7.372981E-11 -3.689743E-14
  1.605003E-06  9.681648E-05 -8.542833E-08  2.500223E-05 -2.206407E-08  5.867661E-10  5.701644E-07  8.253529E-11 -4.370012E-14
  1.697547E-06  1.023989E-04 -9.556208E-08  2.644386E-05 -2.468137E-08  6.563717E-10  6.030400E-07  9.232765E-11 -5.170250E-14
  1.794836E-06  1.082675E-04 -1.068273E-07  2.795940E-05 -2.759092E-08  7.337496E-10  6.376011E-07  1.032138E-10 -6.110973E-14
  1.897114E-06  1.144371E-04 -1.193464E-07  2.955264E-05 -3.082429E-08  8.197402E-10  6.739342E-07  1.153121E-10 -7.216132E-14
  2.004635E-06  1.209229E-04 -1.332546E-07  3.122756E-05 -3.441644E-08  9.152728E-10  7.121301E-07  1.287534E-10 -8.513685E-14
  2.117669E-06  1.277413E-04 -1.487016E-07  3.298836E-05 -3.840602E-08  1.021376E-09  7.522844E-07  1.436826E-10 -1.003626E-13
  2.236499E-06  1.349092E-04 -1.658529E-07  3.483944E-05 -4.283580E-08  1.139187E-09  7.944973E-07  1.602600E-10 -1.182191E-13
  2.361421E-06  1.424447E-04 -1.848918E-07  3.678542E-05 -4.775308E-08  1.269965E-09  8.388745E-07  1.786629E-10 -1.391504E-13
  2.492748E-06  1.503665E-04 -2.060208E-07  3.883117E-05 -5.321019E-08  1.415101E-09  8.855270E-07  1.990876E-10 -1.636741E-13
  2.630808E-06  1.586944E-04 -2.294639E-07  4.098181E-05 -5.926499E-08  1.576135E-09  9.345713E-07  2.217511E-10 -1.923937E-13
  2.775946E-06  1.674493E-04 -2.554690E-07  4.324271E-05 -6.598147E-08  1.754769E-09  9.861301E-07  2.468935E-10 -2.260128E-13
  2.928526E-06  1.766531E-04 -2.843100E-07  4.561953E-05 -7.343039E-08  1.952886E-09  1.040332E-06  2.747803E-10 -2.653511E-13
  3.088929E-06  1.863288E-04 -3.162897E-07  4.811821E-05 -8.168999E-08  2.172568E-09  1.097313E-06  3.057054E-10 -3.113639E-13
  3.257556E-06  1.965005E-04 -3.517432E-07  5.074499E-05 -9.084676E-08  2.416116E-09  1.157216E-06  3.399937E-10 -3.651639E-13
  3.434829E-06  2.071937E-04 -3.910406E-07  5.350644E-05 -1.009963E-07  2.686076E-09  1.220190E-06  3.780046E-10 -4.280471E-13
  3.621191E-06  2.184351E-04 -4.345911E-07  5.640947E-05 -1.122444E-07  2.985259E-09  1.286392E-06  4.201356E-10 -5.015227E-13
  3.817107E-06  2.302529E-04 -4.828472E-07  5.946134E-05 -1.247078E-07  3.316776E-09  1.355988E-06  4.668262E-10 -5.873481E-13
  4.023069E-06  2.426766E-04 -5.363086E-07  6.266967E-05 -1.385156E-07  3.684063E-09  1.429153E-06  5.185626E-10 -6.875687E-13
  4.239590E-06  2.557372E-04 -5.955279E-07  6.604248E-05 -1.538105E-07  4.090919E-09  1.506068E-06  5.758824E-10 -8.045654E-13
  4.467213E-06  2.694674E-04 -6.611154E-07  6.958822E-05 -1.707501E-07  4.541540E-09  1.586927E-06  6.393800E-10 -9.411089E-13
