        r(a.u)         P(1s)         Q(1s)
  0.000000E+00  0.000000E+00  0.000000E+00
  3.986736E-04  7.971951E-04 -2.908746E-06
  4.192166E-04  8.382549E-04 -3.058561E-06
  4.408128E-04  8.814180E-04 -3.216052E-06
  4.635163E-04  9.267920E-04 -3.381609E-06
  4.873839E-04  9.744901E-04 -3.555646E-06
  5.124751E-04  1.024631E-03 -3.738597E-06
  5.388528E-04  1.077340E-03 -3.930918E-06
  5.665829E-04  1.132749E-03 -4.133089E-06
  5.957348E-04  1.190995E-03 -4.345612E-06
  6.263813E-04  1.252223E-03 -4.569019E-06
  6.585991E-04  1.316587E-03 -4.803864E-06
  6.924688E-04  1.384246E-03 -5.050734E-06
  7.280749E-04  1.455369E-03 -5.310242E-06
  7.655067E-04  1.530133E-03 -5.583035E-06
  8.048576E-04  1.608724E-03 -5.869793E-06
  8.462261E-04  1.691338E-03 -6.171228E-06
  8.897155E-04  1.778180E-03 -6.488090E-06
  9.354348E-04  1.869466E-03 -6.821169E-06
  9.834981E-04  1.965424E-03 -7.171291E-06
  1.034026E-03  2.066291E-03 -7.539327E-06
  1.087144E-03  2.172319E-03 -7.926193E-06
  1.142985E-03  2.283770E-03 -8.332849E-06
  1.201690E-03  2.400922E-03 -8.760305E-06
  1.263405E-03  2.524066E-03 -9.209622E-06
  1.328283E-03  2.653507E-03 -9.681916E-06
  1.396488E-03  2.789566E-03 -1.017836E-05
  1.468190E-03  2.932581E-03 -1.070018E-05
  1.543569E-03  3.082905E-03 -1.124867E-05
  1.622812E-03  3.240913E-03 -1.182520E-05
  1.706118E-03  3.406995E-03 -1.243119E-05
  1.793695E-03  3.581561E-03 -1.306813E-05
  1.885762E-03  3.765045E-03 -1.373761E-05
  1.982549E-03  3.957899E-03 -1.444129E-05
  2.084299E-03  4.160601E-03 -1.518089E-05
  2.191266E-03  4.373650E-03 -1.595825E-05
  2.303717E-03  4.597574E-03 -1.677528E-05
  2.421934E-03  4.832923E-03 -1.763401E-05
  2.546212E-03  5.080279E-03 -1.853654E-05
  2.676862E-03  5.340250E-03 -1.948510E-05
  2.814210E-03  5.613477E-03 -2.048203E-05
  2.958600E-03  5.900631E-03 -2.152978E-05
  3.110393E-03  6.202417E-03 -2.263091E-05
  3.269969E-03  6.519577E-03 -2.378814E-05
  3.437726E-03  6.852889E-03 -2.500430E-05
  3.614085E-03  7.203168E-03 -2.628238E-05
  3.799485E-03  7.571273E-03 -2.762549E-05
  3.994392E-03  7.958103E-03 -2.903693E-05
  4.199291E-03  8.364602E-03 -3.052013E-05
  4.414696E-03  8.791763E-03 -3.207873E-05
  4.641145E-03  9.240626E-03 -3.371650E-05
  4.879204E-03  9.712282E-03 -3.543744E-05
  5.129469E-03  1.020788E-02 -3.724573E-05
  5.392565E-03  1.072861E-02 -3.914575E-05
  5.669150E-03  1.127575E-02 -4.114211E-05
  5.959916E-03  1.185061E-02 -4.323962E-05
  6.265590E-03  1.245459E-02 -4.544336E-05
  6.586936E-03  1.308913E-02 -4.775862E-05
  6.924758E-03  1.375576E-02 -5.019097E-05
  7.279901E-03  1.445608E-02 -5.274625E-05
  7.653252E-03  1.519177E-02 -5.543058E-05
  8.045745E-03  1.596458E-02 -5.825037E-05
  8.458361E-03  1.677636E-02 -6.121233E-05
  8.892133E-03  1.762903E-02 -6.432350E-05
  9.348145E-03  1.852462E-02 -6.759126E-05
  9.827538E-03  1.946525E-02 -7.102333E-05
  1.033151E-02  2.045312E-02 -7.462779E-05
  1.086132E-02  2.149055E-02 -7.841312E-05
  1.141829E-02  2.257999E-02 -8.238818E-05
  1.200382E-02  2.372397E-02 -8.656223E-05
  1.261938E-02  2.492514E-02 -9.094499E-05
  1.326649E-02  2.618630E-02 -9.554661E-05
  1.394678E-02  2.751035E-02 -1.003777E-04
  1.466195E-02  2.890032E-02 -1.054493E-04
  1.541378E-02  3.035940E-02 -1.107731E-04
  1.620417E-02  3.189090E-02 -1.163611E-04
  1.703508E-02  3.349829E-02 -1.222261E-04
  1.790859E-02  3.518519E-02 -1.283811E-04
  1.882688E-02  3.695538E-02 -1.348400E-04
  1.979226E-02  3.881278E-02 -1.416172E-04
  2.080713E-02  4.076152E-02 -1.487276E-04
  2.187404E-02  4.280585E-02 -1.561868E-04
  2.299565E-02  4.495025E-02 -1.640111E-04
  2.417476E-02  4.719935E-02 -1.722174E-04
  2.541433E-02  4.955798E-02 -1.808234E-04
  2.671745E-02  5.203116E-02 -1.898474E-04
  2.808739E-02  5.462409E-02 -1.993083E-04
  2.952756E-02  5.734221E-02 -2.092260E-04
  3.104158E-02  6.019113E-02 -2.196209E-04
  3.263321E-02  6.317667E-02 -2.305143E-04
  3.430646E-02  6.630489E-02 -2.419283E-04
  3.606549E-02  6.958201E-02 -2.538856E-04
  3.791471E-02  7.301451E-02 -2.664099E-04
  3.985874E-02  7.660907E-02 -2.795254E-04
  4.190244E-02  8.037256E-02 -2.932574E-04
  4.405093E-02  8.431210E-02 -3.076316E-04
  4.630957E-02  8.843498E-02 -3.226749E-04
  4.868402E-02  9.274872E-02 -3.384146E-04
  5.118020E-02  9.726103E-02 -3.548787E-04
  5.380437E-02  1.019798E-01 -3.720963E-04
  5.656308E-02  1.069131E-01 -3.900966E-04
  5.946324E-02  1.120692E-01 -4.089098E-04
  6.251209E-02  1.174565E-01 -4.285665E-04
  6.571725E-02  1.230835E-01 -4.490980E-04
  6.908675E-02  1.289589E-01 -4.705357E-04
  7.262901E-02  1.350914E-01 -4.929115E-04
  7.635288E-02  1.414898E-01 -5.162575E-04
  8.026767E-02  1.481630E-01 -5.406061E-04
  8.438319E-02  1.551198E-01 -5.659893E-04
  8.870971E-02  1.623689E-01 -5.924394E-04
  9.325806E-02  1.699191E-01 -6.199879E-04
  9.803960E-02  1.777789E-01 -6.486661E-04
  1.030663E-01  1.859566E-01 -6.785045E-04
  1.083507E-01  1.944604E-01 -7.095325E-04
  1.139061E-01  2.032980E-01 -7.417784E-04
  1.197463E-01  2.124766E-01 -7.752688E-04
  1.258859E-01  2.220032E-01 -8.100287E-04
  1.323403E-01  2.318839E-01 -8.460807E-04
  1.391257E-01  2.421243E-01 -8.834448E-04
  1.462589E-01  2.527288E-01 -9.221380E-04
  1.537578E-01  2.637014E-01 -9.621740E-04
  1.616413E-01  2.750446E-01 -1.003562E-03
  1.699289E-01  2.867598E-01 -1.046308E-03
  1.786414E-01  2.988470E-01 -1.090411E-03
  1.878007E-01  3.113046E-01 -1.135865E-03
  1.974295E-01  3.241292E-01 -1.182658E-03
  2.075521E-01  3.373155E-01 -1.230771E-03
  2.181936E-01  3.508561E-01 -1.280178E-03
  2.293807E-01  3.647413E-01 -1.330841E-03
  2.411414E-01  3.789585E-01 -1.382715E-03
  2.535051E-01  3.934925E-01 -1.435746E-03
