3.418073e-8	-0.0038540260041242873
7.011395e-8	-0.007903006663728672
1.078895e-7	-0.012160894515335755
1.476018e-7	-0.01663704029768785
1.893503e-7	-0.021342620854853875
2.332392e-7	-0.02628934617074663
2.793784e-7	-0.03148956010834439
3.278831e-7	-0.036956193405286955
3.788748e-7	-0.04270287428948776
4.324808e-7	-0.04874386965354795
4.888353e-7	-0.055094206104060024
5.480792e-7	-0.06176964398020881
6.103606e-7	-0.06878672965103301
6.758351e-7	-0.07616282456158784
7.446667e-7	-0.08391620103188051
8.170273e-7	-0.09206597936757105
8.930979e-7	-0.10063225534118028
9.730687e-7	-0.10963610242831648
1.05714e-6	-0.1190996625803475
1.145521e-6	-0.12904599882254142
1.238434e-6	-0.13949955352274224
1.336111e-6	-0.1504857488288779
1.438795e-6	-0.1620311134356412
1.546745e-6	-0.1741638217288611
1.660229e-6	-0.18691288000208736
1.779531e-6	-0.20030888219330822
1.90495e-6	-0.2143838608380446
2.0368e-6	-0.22917124466815725
2.17541e-6	-0.2447058095838074
2.321126e-6	-0.2610238459172992
2.474313e-6	-0.27816331582699944
2.635355e-6	-0.29616377571521213
2.804653e-6	-0.3150660634707443
2.982632e-6	-0.334912976877063
3.169735e-6	-0.35574848361523137
3.366432e-6	-0.3776185854594799
3.573213e-6	-0.40057037770682613
3.790596e-6	-0.42465275320069523
4.019125e-6	-0.4499159643969636
4.259371e-6	-0.47641148710024767
4.511934e-6	-0.5041919570217206
4.777447e-6	-0.5333112811598549
5.056572e-6	-0.5638238213081589
5.350009e-6	-0.5957849472853229
5.658491e-6	-0.6292499930100721
5.982788e-6	-0.6642741275192128
6.323713e-6	-0.7009123541468334
6.682118e-6	-0.7392183384896792
7.058898e-6	-0.7792440024899854
7.454996e-6	-0.8210391039581505
7.871403e-6	-0.8646501566235618
8.309159e-6	-0.9101193266921831
8.769359e-6	-0.9574836971584141
9.253154e-6	-1.0067738481590114
9.761755e-6	-1.0580125716775008
1.029643e-5	-1.1112127088160153
1.085852e-5	-1.1663766917047922
1.144943e-5	-1.2234934093650889
1.207064e-5	-1.282536866730438
1.272369e-5	-1.3434622239966065
1.341023e-5	-1.406207768998086
1.413197e-5	-1.4706874426792047
1.489071e-5	-1.5367908421305232
1.568835e-5	-1.6043813007739578
1.652689e-5	-1.6732932323295975
1.740843e-5	-1.7433297780291945
1.833516e-5	-1.8142602821348301
1.93094e-5	-1.8858222282002144
2.033359e-5	-1.9577200675461794
2.14103e-5	-2.029626484991228
2.254221e-5	-2.101183256470344
2.373216e-5	-2.1720080542490527
2.498311e-5	-2.2416971207077143
2.62982e-5	-2.3098356124875643
2.768072e-5	-2.376004288521521
2.913412e-5	-2.4397902079910034
3.066204e-5	-2.5007989535755524
3.22683e-5	-2.558665896825318
3.395691e-5	-2.613068121192303
3.57321e-5	-2.6637360642411743
3.75983e-5	-2.7104620368055325
3.956019e-5	-2.7531083180373095
4.162267e-5	-2.791610224804042
4.379089e-5	-2.8259779399679235
4.607027e-5	-2.8562939902390374
4.846653e-5	-2.882708123672227
5.098564e-5	-2.9054279377280414
5.363391e-5	-2.92471035056686
5.641796e-5	-2.940848380536786
5.934475e-5	-2.9541592912033248
6.242161e-5	-2.9649727340156034
6.565621e-5	-2.973618402550297
6.905666e-5	-2.9804165104571854
7.263145e-5	-2.98566854503292
7.638952e-5	-2.98965183708175
8.034028e-5	-2.992613949084268
8.449359e-5	-2.9947707954648446
8.885985e-5	-2.9963060974826625
9.344998e-5	-2.9973719885178385
9.827544e-5	-2.9980913971431384
0.0001033483	-2.9985609364980874
0.0001086813	-2.998854759894947
0.0001142877	-2.9990279322097155
0.0001201815	-2.999120322396263
0.0001263775	-2.9991599160100666
0.0001328912	-2.9991657091700157
0.0001397389	-2.9991501881263787
0.0001469376	-2.9991212584851668
0.0001545054	-2.999083749121233
0.0001624613	-2.99904046121157
0.000170825	-2.9989929420229675
0.0001796176	-2.998941977740764
0.000188861	-2.998887916083318
0.0001985783	-2.9988308603369074
0.0002087938	-2.998770781890374
0.000219533	-2.9987075829686125
0.0002308229	-2.998641127179057
0.0002426916	-2.998571258383594
0.0002551689	-2.9984978047693556
0.0002682859	-2.998420584552306
0.0002820754	-2.9983394050952668
0.0002965718	-2.998254064032333
0.0003118116	-2.9981643465318695
0.0003278327	-2.9980700294908416
0.0003446752	-2.9979708768460225
0.0003623813	-2.9978666401687666
0.0003809951	-2.9977570598436087
0.0004005634	-2.997641860365142
0.0004211349	-2.9975207550414114
0.0004427611	-2.997393440694284
0.0004654961	-2.997259598846228
0.0004893968	-2.997118894537009
0.0005145229	-2.9969709763221744
0.0005409372	-2.9968154745052775
0.0005687058	-2.9966519999774115
0.0005978982	-2.9964801436105994
0.0006285873	-2.996299476253855
0.0006608498	-2.996109546405582
0.0006947665	-2.9959098784299583
0.0007304221	-2.9956999737303276
0.0007679058	-2.9954793072126935
0.0008073114	-2.9952473267444994
0.0008487373	-2.9950034531041005
0.0008922872	-2.9947470758481405
0.0009380699	-2.994477554567902
0.0009862	-2.9941942147165252
0.001036798	-2.9938963470096684
0.00108999	-2.9935832091809496
0.001145909	-2.993254018461367
0.001204695	-2.992907950848515
0.001266495	-2.992544141071448
0.001331464	-2.9921616769333372
0.001399764	-2.9917596050438315
0.001471565	-2.991336924904416
0.001547048	-2.990892571223483
0.001626401	-2.990425437830483
0.001709823	-2.989934353730969
0.001797522	-2.9894180947740376
0.001889717	-2.988875372548183
0.001986639	-2.9883048280315165
0.00208853	-2.9877050374084275
0.002195645	-2.987074500249234
