        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)        P(3d-)        Q(3d-)         P(3d)         Q(3d)         P(4s)         Q(4s)        P(4p-)        Q(4p-)         P(4p)         Q(4p)
  5.631959E-08  2.929218E-05 -2.231974E-09  9.445655E-06 -7.203077E-10  8.155129E-11  1.001588E-06  4.503762E-12 -2.040469E-16  3.917540E-06 -2.987754E-10  3.443059E-11  4.228275E-07  1.906782E-12 -8.639652E-17  2.642047E-18  5.461277E-14  1.599900E-19 -5.133160E-24  1.546432E-06 -1.179424E-10  1.237562E-11  1.519776E-07  6.828402E-13 -3.094002E-17
  6.205556E-08  3.227549E-05 -2.711790E-09  1.040766E-05 -8.751551E-10  9.908270E-11  1.103596E-06  5.467864E-12 -2.758395E-16  4.316529E-06 -3.630044E-10  4.183227E-11  4.658911E-07  2.314959E-12 -1.167946E-16  3.571634E-18  6.630351E-14  2.140210E-19 -7.747094E-24  1.703931E-06 -1.432970E-10  1.503605E-11  1.674560E-07  8.290130E-13 -4.182608E-17
  6.808561E-08  3.541175E-05 -3.258182E-09  1.141899E-05 -1.051488E-09  1.190466E-10  1.210835E-06  6.582138E-12 -3.622050E-16  4.735973E-06 -4.361452E-10  5.026095E-11  5.111625E-07  2.786715E-12 -1.533631E-16  4.689916E-18  7.981524E-14  2.826704E-19 -1.107730E-23  1.869505E-06 -1.721695E-10  1.806563E-11  1.837280E-07  9.979543E-13 -5.492185E-17
  7.442483E-08  3.870882E-05 -3.892400E-09  1.248218E-05 -1.256164E-09  1.422195E-10  1.323571E-06  7.864878E-12 -4.744579E-16  5.176924E-06 -5.210426E-10  6.004445E-11  5.587551E-07  3.329795E-12 -2.008926E-16  6.143392E-18  9.536979E-14  3.692052E-19 -1.593592E-23  2.043568E-06 -2.056830E-10  2.158218E-11  2.008343E-07  1.192438E-12 -7.194297E-17
  8.108906E-08  4.217493E-05 -4.618188E-09  1.359987E-05 -1.490392E-09  1.687382E-10  1.442088E-06  9.336431E-12 -6.126826E-16  5.640482E-06 -6.181977E-10  7.124050E-11  6.087878E-07  3.952815E-12 -2.594191E-16  7.933160E-18  1.132139E-13  4.775306E-19 -2.236095E-23  2.226556E-06 -2.440352E-10  2.560645E-11  2.188176E-07  1.415548E-12 -9.290227E-17
  8.809498E-08  4.581875E-05 -5.448671E-09  1.477487E-05 -1.758408E-09  1.990822E-10  1.566681E-06  1.101942E-11 -7.862231E-16  6.127807E-06 -7.293675E-10  8.405160E-11  6.613858E-07  4.665350E-12 -3.328987E-16  1.018020E-17  1.336219E-13  6.123051E-19 -3.122494E-23  2.418925E-06 -2.879198E-10  3.021123E-11  2.377230E-07  1.670715E-12 -1.192165E-16
  9.546010E-08  4.964940E-05 -6.396320E-09  1.601011E-05 -2.064235E-09  2.337071E-10  1.697663E-06  1.293898E-11 -9.998996E-16  6.640119E-06 -8.562212E-10  9.867010E-11  7.166805E-07  5.478046E-12 -4.233726E-16  1.294694E-17  1.568986E-13  7.790764E-19 -4.299197E-23  2.621158E-06 -3.379957E-10  3.546565E-11  2.575977E-07  1.961751E-12 -1.516167E-16
  1.032028E-07  5.367645E-05 -7.474513E-09  1.730869E-05 -2.412192E-09  2.731019E-10  1.835360E-06  1.512306E-11 -1.263760E-15  7.178696E-06 -1.000550E-09  1.153024E-10  7.748102E-07  6.402730E-12 -5.350952E-16  1.636347E-17  1.833827E-13  9.844401E-19 -5.877635E-23  2.833759E-06 -3.949697E-10  4.144391E-11  2.784913E-07  2.292890E-12 -1.916264E-16
  1.113426E-07  5.790996E-05 -8.698607E-09  1.867384E-05 -2.807234E-09  3.178275E-10  1.980116E-06  1.760268E-11 -1.586765E-15  7.744888E-06 -1.164409E-09  1.341853E-10  8.359203E-07  7.452539E-12 -6.718604E-16  2.054581E-17  2.134507E-13  1.236226E-18 -7.959607E-23  3.057261E-06 -4.596535E-10  4.823113E-11  3.004562E-07  2.668839E-12 -2.406043E-16
  1.198996E-07  6.236054E-05 -1.008595E-08  2.010899E-05 -3.254961E-09  3.685179E-10  2.132295E-06  2.041230E-11 -1.981573E-15  8.340108E-06 -1.350121E-09  1.555866E-10  9.001636E-07  8.642062E-12 -8.390279E-16  2.565787E-17  2.475202E-13  1.543717E-18 -1.070591E-22  3.292221E-06 -5.329639E-10  5.592353E-11  3.235473E-07  3.094821E-12 -3.004698E-16
