        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)        P(3d-)        Q(3d-)         P(3d)         Q(3d)         P(4s)         Q(4s)        P(4p-)        Q(4p-)         P(4p)         Q(4p)
  7.710962E-07  4.010513E-04 -4.169465E-07  1.293244E-04 -1.345579E-07  1.523430E-08  1.371315E-05  8.442539E-10 -5.270570E-13  5.363666E-05 -5.581309E-08  6.431853E-09  5.789106E-06  3.574362E-10 -2.231639E-13  6.824466E-15  1.023745E-11  4.106198E-16 -1.831216E-19  2.117284E-05 -2.203237E-08  2.311844E-09  2.080788E-06  1.280020E-10 -7.991868E-14
  8.134795E-07  4.230950E-04 -4.640401E-07  1.364327E-04 -1.497561E-07  1.695500E-08  1.446690E-05  9.396133E-10 -6.188292E-13  5.658480E-05 -6.211712E-08  7.158325E-09  6.107304E-06  3.978091E-10 -2.620217E-13  8.012758E-15  1.139378E-11  4.821188E-16 -2.268250E-19  2.233660E-05 -2.452090E-08  2.572964E-09  2.195158E-06  1.424600E-10 -9.383429E-14
  8.580359E-07  4.462689E-04 -5.162644E-07  1.439054E-04 -1.666100E-07  1.886316E-08  1.525928E-05  1.045362E-09 -7.261834E-13  5.968408E-05 -6.910794E-08  7.963943E-09  6.441815E-06  4.425805E-10 -3.074770E-13  9.402808E-15  1.267610E-11  5.657577E-16 -2.807534E-19  2.356003E-05 -2.728055E-08  2.862533E-09  2.315392E-06  1.584931E-10 -1.101126E-13
  9.048768E-07  4.706310E-04 -5.741680E-07  1.517613E-04 -1.852968E-07  2.097884E-08  1.609229E-05  1.162612E-09 -8.517204E-13  6.294226E-05 -7.685901E-08  8.857171E-09  6.793477E-06  4.922210E-10 -3.606313E-13  1.102830E-14  1.409787E-11  6.635633E-16 -3.472639E-19  2.484618E-05 -3.034030E-08  3.183592E-09  2.441791E-06  1.762699E-10 -1.291480E-13
  9.541192E-07  4.962421E-04 -6.383579E-07  1.600199E-04 -2.060123E-07  2.332420E-08  1.696801E-05  1.292590E-09 -9.984707E-13  6.636750E-05 -8.545157E-08  9.847371E-09  7.163169E-06  5.472509E-10 -4.227676E-13  1.292846E-14  1.567400E-11  7.778966E-16 -4.292508E-19  2.619828E-05 -3.373224E-08  3.539506E-09  2.574670E-06  1.959768E-10 -1.514001E-13
  1.005886E-06  5.231663E-04 -7.095051E-07  1.687020E-04 -2.289731E-07  2.592376E-08  1.788863E-05  1.436658E-09 -1.169965E-12  6.996834E-05 -9.497544E-08  1.094490E-08  7.551815E-06  6.082455E-10 -4.953807E-13  1.514901E-14  1.742097E-11  9.115083E-16 -5.302671E-19  2.761970E-05 -3.749181E-08  3.933997E-09  2.714361E-06  2.178196E-10 -1.774040E-13
  1.060308E-06  5.514709E-04 -7.883518E-07  1.778292E-04 -2.544187E-07  2.880466E-08  1.885645E-05  1.596317E-09 -1.370314E-12  7.375380E-05 -1.055300E-07  1.216120E-08  7.960387E-06  6.758414E-10 -5.802117E-13  1.774319E-14  1.935700E-11  1.067602E-15 -6.546738E-19  2.911399E-05 -4.165825E-08  4.371180E-09  2.861215E-06  2.420265E-10 -2.077834E-13
  1.117519E-06  5.812266E-04 -8.757189E-07  1.874243E-04 -2.826140E-07  3.199687E-08  1.987389E-05  1.773231E-09 -1.604308E-12  7.773334E-05 -1.172251E-07  1.350893E-08  8.389906E-06  7.507423E-10 -6.792882E-13  2.077301E-14  2.150226E-11  1.249910E-15 -8.078216E-19  3.068490E-05 -4.627492E-08  4.855606E-09  3.015598E-06  2.688494E-10 -2.432643E-13
  1.177664E-06  6.125080E-04 -9.725140E-07  1.975114E-04 -3.138520E-07  3.553356E-08  2.094350E-05  1.969237E-09 -1.877522E-12  8.191691E-05 -1.301822E-07  1.500211E-08  8.841447E-06  8.337265E-10 -7.949713E-13  2.431067E-14  2.387904E-11  1.462776E-15 -9.962747E-19  3.233634E-05 -5.138979E-08  5.392308E-09  3.177896E-06  2.985670E-10 -2.846924E-13
  1.240892E-06  6.453931E-04 -1.079741E-06  2.081157E-04 -3.484565E-07  3.945141E-08  2.206794E-05  2.186369E-09 -2.196450E-12  8.631498E-05 -1.445358E-07  1.665621E-08  9.316138E-06  9.256547E-10 -9.300101E-13  2.844024E-14  2.651199E-11  1.711260E-15 -1.228084E-18  3.407246E-05 -5.705589E-08  5.986852E-09  3.348515E-06  3.314875E-10 -3.330520E-13
  1.307363E-06  6.799642E-04 -1.198510E-06  2.192636E-04 -3.867858E-07  4.379097E-08  2.325003E-05  2.426874E-09 -2.568650E-12  9.093852E-05 -1.604343E-07  1.848835E-08  9.815166E-06  1.027479E-09 -1.087605E-12  3.325960E-14  2.942837E-11  2.001253E-15 -1.513120E-18  3.589759E-05 -6.333189E-08  6.645391E-09  3.527882E-06  3.679518E-10 -3.894894E-13
  1.377241E-06  7.163078E-04 -1.330047E-06  2.309831E-04 -4.292358E-07  4.859708E-08  2.449273E-05  2.693239E-09 -3.002921E-12  9.579912E-05 -1.780421E-07  2.051747E-08  1.033978E-05  1.140251E-09 -1.271482E-12  3.888268E-14  3.265831E-11  2.339610E-15 -1.863486E-18  3.781629E-05 -7.028262E-08  7.374731E-09  3.716444E-06  4.083368E-10 -4.553388E-13
  1.450702E-06  7.545147E-04 -1.475710E-06  2.433034E-04 -4.762447E-07  5.391933E-08  2.579913E-05  2.988211E-09 -3.509506E-12  1.009089E-04 -1.975409E-07  2.276450E-08  1.089129E-05  1.265135E-09 -1.485978E-12  4.544210E-14  3.623515E-11  2.734312E-15 -2.294015E-18  3.983336E-05 -7.797979E-08  8.182395E-09  3.914674E-06  4.530592E-10 -5.321533E-13
  1.527930E-06  7.946804E-04 -1.637000E-06  2.562554E-04 -5.282964E-07  5.981252E-08  2.717252E-05  3.314830E-09 -4.100324E-12  1.062807E-04 -2.191313E-07  2.525258E-08  1.147107E-05  1.403417E-09 -1.736139E-12  5.309221E-14  4.019575E-11  3.194650E-15 -2.822886E-18  4.195384E-05 -8.650268E-08  9.076703E-09  4.123068E-06  5.025797E-10 -6.217402E-13
  1.609117E-06  8.369054E-04 -1.815574E-06  2.698714E-04 -5.859263E-07  6.633728E-08  2.861632E-05  3.676457E-09 -4.789248E-12  1.119279E-04 -2.430356E-07  2.800730E-08  1.208058E-05  1.556521E-09 -2.027840E-12  6.201263E-14  4.458085E-11  3.731433E-15 -3.472373E-18  4.418304E-05 -9.593895E-08  1.006685E-08  4.342145E-06  5.574079E-10 -7.262031E-13
  1.694466E-06  8.812952E-04 -2.013268E-06  2.841855E-04 -6.497264E-07  7.356062E-08  3.013414E-05  4.076806E-09 -5.592420E-12  1.178646E-04 -2.694991E-07  3.105696E-08  1.272134E-05  1.726019E-09 -2.367915E-12  7.241237E-14  4.943549E-11  4.357242E-15 -4.269764E-18  4.652652E-05 -1.063855E-07  1.116301E-08  4.572454E-06  6.181070E-10 -8.479895E-13
  1.784192E-06  9.279608E-04 -2.232108E-06  2.992334E-04 -7.203510E-07  8.155662E-08  3.172978E-05  4.519985E-09 -6.528621E-12  1.241056E-04 -2.987934E-07  3.443284E-08  1.339495E-05  1.913650E-09 -2.764317E-12  8.453464E-14  5.480950E-11  5.086715E-15 -5.248484E-18  4.899015E-05 -1.179495E-07  1.237642E-08  4.814571E-06  6.852999E-10 -9.899475E-13
  1.878518E-06  9.770188E-04 -2.474336E-06  3.150528E-04 -7.985234E-07  9.040719E-08  3.340722E-05  5.010537E-09 -7.619704E-12  1.306667E-04 -3.312184E-07  3.816951E-08  1.410310E-05  2.121338E-09 -3.226298E-12  9.866239E-14  6.075794E-11  5.936882E-15 -6.449468E-18  5.158009E-05 -1.307494E-07  1.371952E-08  5.069100E-06  7.596751E-10 -1.155391E-12
  1.977680E-06  1.028592E-03 -2.742430E-06  3.316833E-04 -8.850435E-07  1.002029E-07  3.517066E-05  5.553481E-09 -8.891091E-12  1.375640E-04 -3.671060E-07  4.230520E-08  1.484755E-05  2.351207E-09 -3.764622E-12  1.151248E-13  6.734171E-11  6.927559E-15 -7.922845E-18  5.430281E-05 -1.449161E-07  1.520604E-08  5.336679E-06  8.419939E-10 -1.348173E-12
  2.081926E-06  1.082809E-03 -3.039131E-06  3.491663E-04 -9.807953E-07  1.110438E-07  3.702451E-05  6.154370E-09 -1.037236E-11  1.448151E-04 -4.068227E-07  4.688219E-08  1.563016E-05  2.605608E-09 -4.391812E-12  1.343048E-13  7.462811E-11  8.081797E-15 -9.729990E-18  5.716511E-05 -1.605944E-07  1.685118E-08  5.617975E-06  9.330980E-10 -1.572781E-12
  2.191517E-06  1.139806E-03 -3.367466E-06  3.675457E-04 -1.086756E-06  1.230406E-07  3.897340E-05  6.819340E-09 -1.209790E-11  1.524378E-04 -4.507741E-07  5.194718E-08  1.645290E-05  2.887140E-09 -5.122433E-12  1.566479E-13  8.269156E-11  9.426411E-15 -1.194604E-17  6.017416E-05 -1.779443E-07  1.867172E-08  5.913693E-06  1.033918E-09 -1.834428E-12
  2.306727E-06  1.199725E-03 -3.730782E-06  3.868673E-04 -1.204007E-06  1.363156E-07  4.102220E-05  7.555177E-09 -1.410773E-11  1.604513E-04 -4.994083E-07  5.755182E-08  1.731782E-05  3.198675E-09 -5.973425E-12  1.826720E-13  9.161434E-11  1.099259E-14 -1.466297E-17  6.333747E-05 -1.971428E-07  2.068623E-08  6.224572E-06  1.145482E-09 -2.139182E-12
  2.427844E-06  1.262715E-03 -4.132782E-06  4.071794E-04 -1.333741E-06  1.510040E-07  4.317604E-05  8.369380E-09 -1.644838E-11  1.688757E-04 -5.532206E-07  6.375320E-08  1.822707E-05  3.543389E-09 -6.964493E-12  2.129799E-13  1.014874E-10  1.281662E-14 -1.799335E-17  6.666295E-05 -2.183853E-07  2.291524E-08  6.551388E-06  1.268928E-09 -2.494100E-12
  2.555170E-06  1.328935E-03 -4.577554E-06  4.285329E-04 -1.477279E-06  1.672553E-07  4.544029E-05  9.270242E-09 -1.917398E-11  1.777320E-04 -6.127585E-07  7.061443E-08  1.918294E-05  3.924792E-09 -8.118552E-12  2.482723E-13  1.124113E-10  1.494068E-14 -2.207495E-17  7.015891E-05 -2.418881E-07  2.538142E-08  6.894958E-06  1.405513E-09 -2.907388E-12
  2.689025E-06  1.398549E-03 -5.069622E-06  4.509810E-04 -1.636080E-06  1.852347E-07  4.782062E-05  1.026693E-08 -2.234745E-11  1.870422E-04 -6.786274E-07  7.820526E-08  2.018782E-05  4.346764E-09 -9.462250E-12  2.893640E-13  1.244971E-10  1.741386E-14 -2.707633E-17  7.383410E-05 -2.678900E-07  2.810984E-08  7.256141E-06  1.556626E-09 -3.388588E-12
  2.829743E-06  1.471733E-03 -5.613981E-06  4.745799E-04 -1.811757E-06  2.051249E-07  5.032298E-05  1.136957E-08 -2.604199E-11  1.968298E-04 -7.514963E-07  8.660280E-08  2.124421E-05  4.813597E-09 -1.102657E-11  3.372029E-13  1.378678E-10  2.029322E-14 -3.320376E-17  7.769769E-05 -2.966552E-07  3.112822E-08  7.635840E-06  1.723804E-09 -3.948798E-12
  2.977675E-06  1.548668E-03 -6.216157E-06  4.993886E-04 -2.006093E-06  2.271276E-07  5.295361E-05  1.258938E-08 -3.034269E-11  2.071190E-04 -8.321044E-07  9.589225E-08  2.235475E-05  5.330031E-09 -1.284755E-11  3.928908E-13  1.526592E-10  2.364512E-14 -4.070958E-17  8.175934E-05 -3.284755E-07  3.446719E-08  8.035004E-06  1.908745E-09 -4.600921E-12
  3.133192E-06  1.629546E-03 -6.882254E-06  5.254691E-04 -2.221057E-06  2.514660E-07  5.571910E-05  1.393872E-08 -3.534849E-11  2.179358E-04 -9.212692E-07  1.061678E-07  2.352222E-05  5.901311E-09 -1.496708E-11  4.577090E-13  1.690214E-10  2.754674E-14 -4.990249E-17  8.602920E-05 -3.636735E-07  3.816061E-08  8.454631E-06  2.113326E-09 -5.359960E-12
  3.296683E-06  1.714571E-03 -7.619020E-06  5.528864E-04 -2.458828E-06  2.783866E-07  5.862636E-05  1.543130E-08 -4.117442E-11  2.293070E-04 -1.019894E-06  1.175336E-07  2.474954E-05  6.533230E-09 -1.743387E-11  5.331469E-13  1.871204E-10  3.208781E-14 -6.116008E-17  9.051794E-05 -4.026059E-07  4.224588E-08  8.895768E-06  2.339624E-09 -6.243358E-12
  3.468556E-06  1.803954E-03 -8.433911E-06  5.817093E-04 -2.721812E-06  3.081620E-07  6.168264E-05  1.708223E-08 -4.795423E-11  2.412611E-04 -1.128977E-06  1.301046E-07  2.603977E-05  7.232194E-09 -2.030455E-11  6.209366E-13  2.071397E-10  3.737266E-14 -7.494416E-17  9.523678E-05 -4.456666E-07  4.676437E-08  9.359518E-06  2.589931E-09 -7.271394E-12
  3.649241E-06  1.897919E-03 -9.335170E-06  6.120095E-04 -3.012668E-06  3.410933E-07  6.489559E-05  1.890825E-08 -5.584338E-11  2.538280E-04 -1.249621E-06  1.440081E-07  2.739614E-05  8.005285E-09 -2.364493E-11  7.230912E-13  2.292821E-10  4.352260E-14 -9.181956E-17  1.001975E-04 -4.932911E-07  5.176178E-08  9.847040E-06  2.866784E-09 -8.467642E-12
  3.839190E-06  1.996701E-03 -1.033190E-05  6.438630E-04 -3.334337E-06  3.775133E-07  6.827323E-05  2.092783E-08 -6.502262E-11  2.670391E-04 -1.383045E-06  1.593844E-07  2.882203E-05  8.860328E-09 -2.753156E-11  8.419512E-13  2.537717E-10  5.067867E-14 -1.124770E-16  1.054125E-04 -5.459608E-07  5.728861E-08  1.035955E-05  3.172984E-09 -9.859507E-12
  4.038877E-06  2.100546E-03 -1.143418E-05  6.773491E-04 -3.690065E-06  4.177899E-07  7.182400E-05  2.316143E-08 -7.570201E-11  2.809273E-04 -1.530597E-06  1.763890E-07  3.032101E-05  9.805977E-09 -3.205338E-11  9.802371E-13  2.808563E-10  5.900485E-14 -1.377610E-16  1.108948E-04 -6.042074E-07  6.340068E-08  1.089833E-05  3.511632E-09 -1.147884E-11
  4.248803E-06  2.209713E-03 -1.265311E-05  7.125517E-04 -4.083443E-06  4.623294E-07  7.555676E-05  2.563161E-08 -8.812574E-11  2.955274E-04 -1.693766E-06  1.951934E-07  3.189683E-05  1.085179E-08 -3.731377E-11  1.141111E-12  3.108099E-10  6.869177E-14 -1.687042E-16  1.166582E-04 -6.686187E-07  7.015967E-08  1.146473E-05  3.886150E-09 -1.336268E-11
  4.469493E-06  2.324476E-03 -1.400100E-05  7.495585E-04 -4.518436E-06  5.115810E-07  7.948085E-05  2.836336E-08 -1.025776E-10  3.108758E-04 -1.874196E-06  2.159872E-07  3.355341E-05  1.200835E-08 -4.343292E-11  1.328248E-12  3.439351E-10  7.996103E-14 -2.065691E-16  1.227169E-04 -7.398440E-07  7.763373E-08  1.206016E-05  4.300325E-09 -1.555405E-11
  4.701497E-06  2.445121E-03 -1.549142E-05  7.884619E-04 -4.999427E-06  5.660410E-07  8.360605E-05  3.138426E-08 -1.193875E-10  3.270108E-04 -2.073705E-06  2.389800E-07  3.529489E-05  1.328732E-08 -5.055048E-11  1.545921E-12  3.805666E-10  9.307028E-14 -2.528992E-16  1.290861E-04 -8.186009E-07  8.589817E-08  1.268610E-05  4.758341E-09 -1.810296E-11
  4.945396E-06  2.571949E-03 -1.713936E-05  8.293593E-04 -5.531257E-06  6.262577E-07  8.794268E-05  3.472482E-08 -1.389387E-10  3.439728E-04 -2.294302E-06  2.644032E-07  3.712563E-05  1.470163E-08 -5.882876E-11  1.799092E-12  4.210744E-10  1.083190E-13 -3.095812E-16  1.357818E-04 -9.056821E-07  9.503620E-08  1.334413E-05  5.264821E-09 -2.106755E-11
  5.201800E-06  2.705276E-03 -1.896142E-05  8.723525E-04 -6.119275E-06  6.928368E-07  9.250154E-05  3.841875E-08 -1.616767E-10  3.618040E-04 -2.538206E-06  2.925126E-07  3.905019E-05  1.626555E-08 -6.845638E-11  2.093532E-12  4.658671E-10  1.260552E-13 -3.789212E-16  1.428206E-04 -1.001964E-06  1.051398E-07  1.403588E-05  5.824878E-09 -2.451536E-11
  5.471351E-06  2.845436E-03 -2.097589E-05  9.175490E-04 -6.769392E-06  7.664477E-07  9.729404E-05  4.250331E-08 -1.881192E-10  3.805490E-04 -2.807867E-06  3.235908E-07  4.107337E-05  1.799485E-08 -7.965250E-11  2.435945E-12  5.153967E-10  1.466838E-13 -4.637378E-16  1.502201E-04 -1.108413E-06  1.163104E-07  1.476307E-05  6.444162E-09 -2.852488E-11
  5.754721E-06  2.992779E-03 -2.320302E-05  9.650614E-04 -7.488135E-06  8.478297E-07  1.023321E-04  4.701970E-08 -2.188675E-10  4.002546E-04 -3.105994E-06  3.579499E-07  4.320023E-05  1.990698E-08 -9.267181E-11  2.834120E-12  5.701625E-10  1.706748E-13 -5.674758E-16  1.579988E-04 -1.226099E-06  1.286603E-07  1.552753E-05  7.128916E-09 -3.318731E-11
  6.052621E-06  3.147671E-03 -2.566514E-05  1.015008E-03 -8.282717E-06  9.377997E-07  1.076283E-04  5.201343E-08 -2.546205E-10  4.209699E-04 -3.435577E-06  3.959348E-07  4.543608E-05  2.202120E-08 -1.078102E-10  3.297107E-12  6.307167E-10  1.985752E-13 -6.943448E-16  1.661760E-04 -1.356203E-06  1.423135E-07  1.633116E-05  7.886043E-09 -3.860861E-11
  6.365794E-06  3.310499E-03 -2.838693E-05  1.067515E-03 -9.161103E-06  1.037260E-06  1.131959E-04  5.753482E-08 -2.961901E-10  4.427466E-04 -3.799921E-06  4.379265E-07  4.778647E-05  2.435882E-08 -1.254114E-10  3.835424E-12  6.976692E-10  2.310204E-13 -8.494890E-16  1.747723E-04 -1.500029E-06  1.574068E-07  1.717597E-05  8.723171E-09 -4.491189E-11
  6.695023E-06  3.481670E-03 -3.139567E-05  1.122711E-03 -1.013209E-05  1.147207E-06  1.190488E-04  6.363947E-08 -3.445195E-10  4.656390E-04 -4.202676E-06  4.843455E-07  5.025729E-05  2.694338E-08 -1.458748E-10  4.461285E-12  7.716944E-10  2.687488E-13 -1.039193E-15  1.838090E-04 -1.659018E-06  1.740915E-07  1.806406E-05  9.648731E-09 -5.224018E-11
  7.041133E-06  3.661610E-03 -3.472144E-05  1.180735E-03 -1.120539E-05  1.268741E-06  1.252015E-04  7.038884E-08 -4.007044E-10  4.897041E-04 -4.647870E-06  5.356566E-07  5.285469E-05  2.980090E-08 -1.696643E-10  5.188883E-12  8.535376E-10  3.126189E-13 -1.271137E-15  1.933086E-04 -1.834759E-06  1.925346E-07  1.899765E-05  1.067204E-08 -6.075959E-11
  7.404988E-06  3.850767E-03 -3.839750E-05  1.241731E-03 -1.239174E-05  1.403077E-06  1.316693E-04  7.785087E-08 -4.660172E-10  5.150020E-04 -5.139953E-06  5.923729E-07  5.558514E-05  3.296014E-08 -1.973187E-10  6.034703E-12  9.440224E-10  3.636285E-13 -1.554702E-15  2.032948E-04 -2.029011E-06  2.129205E-07  1.997906E-05  1.180340E-08 -7.066311E-11
  7.787498E-06  4.049613E-03 -4.246055E-05  1.305852E-03 -1.370298E-05  1.551558E-06  1.384684E-04  8.610062E-08 -5.419361E-10  5.415957E-04 -5.683840E-06  6.550609E-07  5.845545E-05  3.645288E-08 -2.294640E-10  7.017890E-12  1.044059E-09  4.229369E-13 -1.901346E-15  2.137925E-04 -2.243711E-06  2.354529E-07  2.101074E-05  1.305419E-08 -8.217484E-11
  8.189620E-06  4.258643E-03 -4.695111E-05  1.373256E-03 -1.515219E-05  1.715665E-06  1.456158E-04  9.522106E-08 -6.301776E-10  5.695514E-04 -6.284955E-06  7.243462E-07  6.147275E-05  4.031425E-08 -2.668268E-10  8.160682E-12  1.154654E-09  4.918917E-13 -2.325068E-15  2.248279E-04 -2.481003E-06  2.603566E-07  2.209525E-05  1.443699E-08 -9.555507E-11
  8.612359E-06  4.478377E-03 -5.191391E-05  1.444112E-03 -1.675380E-05  1.897034E-06  1.531292E-04  1.053039E-07 -7.327349E-10  5.989387E-04 -6.949285E-06  8.009195E-07  6.464458E-05  4.458307E-08 -3.102511E-10  9.488902E-12  1.276919E-09  5.720590E-13 -2.842962E-15  2.364284E-04 -2.743249E-06  2.878798E-07  2.323531E-05  1.596570E-08 -1.111061E-10
  9.056773E-06  4.709363E-03 -5.739833E-05  1.518597E-03 -1.852375E-05  2.097471E-06  1.610273E-04  1.164504E-07 -8.519225E-10  6.298306E-04 -7.683441E-06  8.855429E-07  6.797881E-05  4.930224E-08 -3.607169E-10  1.103254E-11  1.412082E-09  6.652587E-13 -3.475906E-15  2.486229E-04 -3.033059E-06  3.182966E-07  2.443374E-05  1.765569E-08 -1.291787E-10
  9.523972E-06  4.952173E-03 -6.345886E-05  1.596894E-03 -2.047962E-05  2.318968E-06  1.693297E-04  1.287727E-07 -9.904273E-10  6.623041E-04 -8.494715E-06  9.790578E-07  7.148373E-05  5.451919E-08 -4.193620E-10  1.282639E-11  1.561502E-09  7.736059E-13 -4.249391E-15  2.614417E-04 -3.353312E-06  3.519093E-07  2.569352E-05  1.952394E-08 -1.501805E-10
  1.001512E-05  5.207413E-03 -7.015560E-05  1.679199E-03 -2.264081E-05  2.563723E-06  1.780571E-04  1.423945E-07 -1.151368E-09  6.964399E-04 -9.391154E-06  1.082393E-06  7.516807E-05  6.028630E-08 -4.875068E-10  1.491090E-11  1.726680E-09  8.995584E-13 -5.194542E-15  2.749166E-04 -3.707184E-06  3.890516E-07  2.701778E-05  2.158921E-08 -1.745843E-10
  1.053146E-05  5.475716E-03 -7.755488E-05  1.765717E-03 -2.502874E-05  2.834164E-06  1.872311E-04  1.574525E-07 -1.338366E-09  7.323227E-04 -1.038164E-05  1.196571E-06  7.904097E-05  6.666149E-08 -5.666844E-10  1.733295E-11  1.909274E-09  1.045972E-12 -6.349356E-15  2.890812E-04 -4.098180E-06  4.300917E-07  2.840983E-05  2.387224E-08 -2.029391E-10
  1.107427E-05  5.757748E-03 -8.572985E-05  1.856662E-03 -2.766699E-05  3.132966E-06  1.968746E-04  1.740979E-07 -1.555621E-09  7.700416E-04 -1.147595E-05  1.322724E-06  8.311204E-05  7.370875E-08 -6.586735E-10  2.014701E-11  2.111117E-09  1.216167E-12 -7.760213E-15  3.039706E-04 -4.530165E-06  4.754356E-07  2.987310E-05  2.639594E-08 -2.358819E-10
  1.164491E-05  6.054208E-03 -9.476115E-05  1.952259E-03 -3.058160E-05  3.463080E-06  2.070115E-04  1.924978E-07 -1.808008E-09  8.096901E-04 -1.268490E-05  1.462097E-06  8.739138E-05  8.149880E-08 -7.655381E-10  2.341626E-11  2.334235E-09  1.413999E-12 -9.483719E-15  3.196217E-04 -5.007401E-06  5.255313E-07  3.141123E-05  2.918565E-08 -2.741519E-10
  1.224480E-05  6.365831E-03 -1.047377E-04  2.052746E-03 -3.380127E-05  3.827760E-06  2.176668E-04  2.128367E-07 -2.101183E-09  8.513666E-04 -1.402039E-05  1.616064E-06  9.188960E-05  9.010979E-08 -8.896728E-10  2.721399E-11  2.580865E-09  1.643951E-12 -1.158895E-14  3.360733E-04 -5.534587E-06  5.808726E-07  3.302803E-05  3.226934E-08 -3.186066E-10
  1.287545E-05  6.693389E-03 -1.157575E-04  2.158371E-03 -3.735763E-05  4.230594E-06  2.288670E-04  2.353186E-07 -2.441704E-09  8.951742E-04 -1.549552E-05  1.786138E-06  9.661784E-05  9.962806E-08 -1.033855E-09  3.162524E-11  2.853481E-09  1.911229E-12 -1.416018E-14  3.533661E-04 -6.116901E-06  6.420036E-07  3.472751E-05  3.567794E-08 -3.702406E-10
  1.353844E-05  7.037692E-03 -1.279285E-04  2.269396E-03 -4.128551E-05  4.675534E-06  2.406397E-04  2.601688E-07 -2.837179E-09  9.412212E-04 -1.712476E-05  1.973990E-06  1.015878E-04  1.101490E-07 -1.201305E-09  3.674864E-11  3.154816E-09  2.221885E-12 -1.730021E-14  3.715430E-04 -6.760048E-06  7.095244E-07  3.651387E-05  3.944562E-08 -4.302073E-10
  1.423542E-05  7.399591E-03 -1.413696E-04  2.386095E-03 -4.562328E-05  5.166933E-06  2.530141E-04  2.876365E-07 -3.296426E-09  9.896214E-04 -1.892403E-05  2.181457E-06  1.068117E-04  1.217782E-07 -1.395757E-09  4.269854E-11  3.487890E-09  2.582951E-12 -2.113444E-14  3.906487E-04 -7.470312E-06  7.840956E-07  3.839151E-05  4.361015E-08 -4.998438E-10
  1.496813E-05  7.779978E-03 -1.562118E-04  2.508756E-03 -5.041321E-05  5.709588E-06  2.660207E-04  3.179967E-07 -3.829667E-09  1.040494E-03 -2.091084E-05  2.410563E-06  1.123025E-04  1.346320E-07 -1.621540E-09  4.960751E-11  3.856040E-09  3.002596E-12 -2.581576E-14  4.107306E-04 -8.254610E-06  8.664448E-07  4.036508E-05  4.821324E-08 -5.807002E-10
  1.573841E-05  8.179791E-03 -1.725990E-04  2.637680E-03 -5.570178E-05  6.308775E-06  2.796914E-04  3.515537E-07 -4.448744E-09  1.093965E-03 -2.310448E-05  2.663538E-06  1.180737E-04  1.488391E-07 -1.883667E-09  5.762919E-11  4.262952E-09  3.490312E-12 -3.153055E-14  4.318380E-04 -9.120556E-06  9.573731E-07  4.243944E-05  5.330099E-08 -6.745722E-10
  1.654819E-05  8.600014E-03 -1.906898E-04  2.773186E-03 -6.154014E-05  6.970303E-06  2.940601E-04  3.886432E-07 -5.167378E-09  1.150166E-03 -2.552617E-05  2.942832E-06  1.241396E-04  1.645419E-07 -2.187948E-09  6.694157E-11  4.712701E-09  4.057128E-12 -3.850599E-14  4.540229E-04 -1.007652E-05  1.057762E-06  4.461969E-05  5.892433E-08 -7.835402E-10
  1.739948E-05  9.041679E-03 -2.106584E-04  2.915607E-03 -6.798451E-05  7.700558E-06  3.091619E-04  4.296365E-07 -6.001455E-09  1.209234E-03 -2.819922E-05  3.251143E-06  1.305149E-04  1.818975E-07 -2.541109E-09  7.775082E-11  5.209787E-09  4.715859E-12 -4.701886E-14  4.773397E-04 -1.113172E-05  1.168580E-06  4.691118E-05  6.513955E-08 -9.100132E-10
  1.829442E-05  9.505868E-03 -2.326962E-04  3.065290E-03 -7.509667E-05  8.506561E-06  3.250339E-04  4.749437E-07 -6.969365E-09  1.271314E-03 -3.114927E-05  3.591434E-06  1.372154E-04  2.010794E-07 -2.950937E-09  9.029564E-11  5.759183E-09  5.481392E-12 -5.740631E-14  5.018457E-04 -1.229626E-05  1.290893E-06  4.931954E-05  7.200882E-08 -1.056779E-09
  1.923524E-05  9.993719E-03 -2.570134E-04  3.222603E-03 -8.294446E-05  9.396022E-06  3.417149E-04  5.250177E-07 -8.092382E-09  1.336559E-03 -3.440444E-05  3.966961E-06  1.442574E-04  2.222795E-07 -3.426440E-09  1.048523E-10  6.366383E-09  6.371025E-12 -7.007886E-14  5.276008E-04 -1.358125E-05  1.425871E-06  5.185066E-05  7.960082E-08 -1.227065E-09
  2.022430E-05  1.050642E-02 -2.838405E-04  3.387930E-03 -9.160229E-05  1.037741E-05  3.592456E-04  5.803591E-07 -9.395112E-09  1.405127E-03 -3.799562E-05  4.381297E-06  1.516581E-04  2.457097E-07 -3.978036E-09  1.217403E-10  7.037455E-09  7.404851E-12 -8.553621E-14  5.546679E-04 -1.499888E-05  1.574799E-06  5.451072E-05  8.799144E-08 -1.424601E-09
  2.126407E-05  1.104522E-02 -3.134305E-04  3.561673E-03 -1.011518E-04  1.146000E-05  3.776689E-04  6.415208E-07 -1.090599E-08  1.477187E-03 -4.195664E-05  4.838363E-06  1.594356E-04  2.716040E-07 -4.617768E-09  1.413292E-10  7.779104E-09  8.606217E-12 -1.043863E-13  5.831130E-04 -1.656250E-05  1.739085E-06  5.730620E-05  9.726450E-08 -1.653699E-09
